Fecha,COD_VIAJE,CLIENTE,UBICACION,Tarifa,CANTIDAD,PILOTO,Q,CREDITO,UNIDAD,C_CLIENTE,MAX,Conos,Custodio,GPS
03-01-17,10002168,UBIQUO LABS / Ajuste,76001,,413,Pedro Alvarez Parejo,143.25,60,Panel,0,500,x, ,x
04-01-17,10000438,TAQUERIA EL CHINITO,76002,0.2634,1270,Luis Jaime Urbano,334.5,90,Camion Grande,2,1300,x, ,x
04-01-17,10000866,CHICHARRONERIA EL RICO COLESTEROL,76001,0.2774,1169,Fernando Mariano Berrio,324.25,30,Camion Grande,5,1200,x,x,x
04-01-17,10000982,TAQUERIA EL CHINITO,76002,0.2854,735,Luis Jaime Urbano,209.75,60,Camion Pequeño,5,800,x,x,x
04-01-17,10001918,TAQUERIA EL CHINITO,76002,0.28,999,Luis Jaime Urbano,279.75,60,Camion Pequeño,,1000,x, ,x
05-01-17,10000067,CHICHARRONERIA EL RICO COLESTEROL,76002,0.2588,1598,Fernando Mariano Berrio,413.5,90,Camion Grande,5,1600, ,x,x
05-01-17,10000073,EL PINCHE OBELISCO / Ajuste,76002,,1402,Felipe Villatoro,363.5,60,Camion Grande,1,1500,x,x,x
05-01-17,10000247,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.2711,1661,Juan Francisco Portillo Gomez,450.25,60,Camion Grande,,1700,x,x,x
05-01-17,10000262,UBIQUO LABS / Ajuste,76001,,1582,Juan Francisco Portillo Gomez,398.5,60,Camion Grande,1,1600, , ,x
05-01-17,10000344,BAR LA OFICINA,76002,0.2658,761,Pedro Alvarez Parejo,202.25,30,Camion Pequeño,3,800,x,x,x
05-01-17,10000546,UBIQUO LABS,76002,0.2612,894,Felipe Villatoro,233.5,60,Camion Pequeño,4,900,x,x,x
05-01-17,10000556,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.2923,591,Fernando Mariano Berrio,172.75,30,Camion Pequeño,1,600,x, ,x
05-01-17,10000705,HOSPITAL ROOSEVELT,76001,0.2568,1763,Angel Valdez Alegria,452.75,60,Camion Grande,3,1800, ,x,x
05-01-17,10001586,CHICHARRONERIA EL RICO COLESTEROL,76002,0.2683,1969,Fernando Mariano Berrio,528.25,90,Camion Grande,,2000,x,x,x
05-01-17,10001616,HOSPITAL LAS AMERICAS,76001,0.3942,326,Pedro Alvarez Parejo,128.5,90,Panel,5,400,x, ,x
05-01-17,10001914,HOSPITAL LAS AMERICAS,76001,0.2982,893,Hector Giron,266.25,30,Camion Pequeño,1,900,x, ,x
05-01-17,10001991,HOSPITAL ROOSEVELT,76002,0.296,805,Pedro Alvarez Parejo,238.25,90,Camion Pequeño,5,900, , ,x
06-01-17,10000038,TAQUERIA EL CHINITO,76001,0.2726,1991,Hector Aragones Frutos,542.75,90,Camion Grande,0,2000, , ,x
06-01-17,10000106,HOSPITAL ROOSEVELT,76001,0.2521,482,Felipe Villatoro,121.5,90,Panel,4,500,x, ,x
06-01-17,10000257,"SPORTA, S.A.",76001,0.2929,955,Felipe Villatoro,279.75,30,Camion Pequeño,2,1000,x,x,x
06-01-17,10000872,CHICHARRONERIA EL RICO COLESTEROL,76002,0.258,1882,Fernando Mariano Berrio,485.5,60,Camion Grande,4,1900,x, ,x
06-01-17,10000895,HOSPITAL LAS AMERICAS,76001,0.2749,1887,Felipe Villatoro,518.75,90,Camion Grande,2,1900, , ,x
06-01-17,10001023,"SPORTA, S.A.",76002,0.3744,217,Felipe Villatoro,81.25,60,Panel,,300, , ,x
06-01-17,10001095,POLLO PINULITO,76001,0.256,1840,Pedro Alvarez Parejo,471,30,Camion Grande,1,1900,x,x,x
06-01-17,10001127,UBIQUO LABS,76001,0.2663,1598,Ismael Rodero Monteagudo,425.5,30,Camion Grande,5,1600,x, ,x
06-01-17,10001721,TIENDA LA BENDICION,76002,0.2746,1949,Fernando Mariano Berrio,535.25,30,Camion Grande,1,2000, ,x,x
06-01-17,10001805,TAQUERIA EL CHINITO,76001,0.2642,702,Pedro Alvarez Parejo,185.5,90,Camion Pequeño,5,800, ,x,x
07-01-17,10000008,"SPORTA, S.A.",76001,0.2745,1716,Juan Francisco Portillo Gomez,471,60,Camion Grande,5,1800, ,x,x
07-01-17,10000120,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2908,1153,Hector Aragones Frutos,335.25,90,Camion Grande,3,1200,x, ,x
07-01-17,10000173,ABARROTERIA EBENEZER,76001,0.2564,1245,Angel Valdez Alegria,319.25,30,Camion Grande,5,1300, ,x,x
07-01-17,10000596,POLLO PINULITO,76001,0.2793,410,Luis Jaime Urbano,114.5,30,Panel,5,500,x,x,x
07-01-17,10000755,EL PINCHE OBELISCO / Ajuste,76002,,1494,Fernando Mariano Berrio,392.5,30,Camion Grande,,1500,x, ,x
07-01-17,10001724,"SPORTA, S.A.",76001,0.2877,955,Ismael Rodero Monteagudo,274.75,30,Camion Pequeño,0,1000, , ,x
08-01-17,10000015,UBIQUO LABS,76001,0.2596,1667,Luis Jaime Urbano,432.75,90,Camion Grande,2,1700,x, , 
08-01-17,10000242,CHICHARRONERIA EL RICO COLESTEROL,76001,0.2792,1577,Hector Giron,440.25,30,Camion Grande,4,1600,x, ,x
08-01-17,10000449,TIENDA LA BENDICION,76001,0.2826,1381,Angel Valdez Alegria,390.25,30,Camion Grande,4,1400,x, ,x
08-01-17,10000775,TIENDA LA BENDICION,76001,0.4393,243,Fernando Mariano Berrio,106.75,30,Panel,3,300, , ,x
08-01-17,10000777,BAR LA OFICINA,76002,0.3127,287,Luis Jaime Urbano,89.75,60,Panel,,300, , , 
08-01-17,10000849,"SPORTA, S.A.",76001,0.2523,1740,Fernando Mariano Berrio,439,60,Camion Grande,,1800,x,x,x
08-01-17,10000871,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.3101,582,Felipe Villatoro,180.5,60,Camion Pequeño,0,600, , ,x
08-01-17,10001243,EL PINCHE OBELISCO,76001,0.266,1122,Juan Francisco Portillo Gomez,298.5,90,Camion Grande,0,1200,x,x,x
08-01-17,10002044,UBIQUO LABS / Ajuste,76002,,952,Felipe Villatoro,280,90,Camion Pequeño,1,1000, ,x,x
09-01-17,10000085,ABARROTERIA EBENEZER,76002,0.349,384,Ismael Rodero Monteagudo,134,90,Panel,0,400,x, ,x
09-01-17,10000358,CHICHARRONERIA EL RICO COLESTEROL,76002,0.3093,354,Angel Valdez Alegria,109.5,60,Panel,3,400, , ,x
09-01-17,10000544,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2924,1037,Angel Valdez Alegria,303.25,90,Camion Grande,4,1100,x, ,x
09-01-17,10000626,EL PINCHE OBELISCO,76001,0.2817,1103,Pedro Alvarez Parejo,310.75,90,Camion Grande,4,1200, , ,x
09-01-17,10001249,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.2672,1627,Luis Jaime Urbano,434.75,60,Camion Grande,0,1700, , ,x
09-01-17,10001498,HOSPITAL ROOSEVELT,76001,0.3203,498,Juan Francisco Portillo Gomez,159.5,30,Panel,1,500, , ,x
10-01-17,10000277,BAR LA OFICINA,76002,0.2657,956,Fernando Mariano Berrio,254,30,Camion Pequeño,5,1000,x, ,x
10-01-17,10000310,TIENDA LA BENDICION,76002,0.2941,227,Juan Francisco Portillo Gomez,66.75,60,Panel,1,300,x,x,x
10-01-17,10000458,TAQUERIA EL CHINITO,76001,0.3098,602,Angel Valdez Alegria,186.5,60,Camion Pequeño,1,700,x, ,x
10-01-17,10000676,UBIQUO LABS,76002,0.3157,578,Fernando Mariano Berrio,182.5,30,Camion Pequeño,,600,x, ,x
10-01-17,10000996,POLLO PINULITO,76001,0.2506,1574,Felipe Villatoro,394.5,30,Camion Grande,1,1600, ,x,x
10-01-17,10001422,TIENDA LA BENDICION,76002,0.2992,874,Pedro Alvarez Parejo,261.5,90,Camion Pequeño,3,900,x,x,x
10-01-17,10001511,"SPORTA, S.A. / Ajuste",76002,,421,Hector Giron,148.25,30,Panel,1,500,x,x,x
10-01-17,10001917,TIENDA LA BENDICION,76002,0.2836,1341,Fernando Mariano Berrio,380.25,60,Camion Grande,2,1400, ,x,x
10-01-17,10001983,UBIQUO LABS,76002,0.251,967,Ismael Rodero Monteagudo,242.75,90,Camion Pequeño,4,1000,x, ,x
10-01-17,10002142,BAR LA OFICINA,76001,0.2581,1981,Luis Jaime Urbano,511.25,30,Camion Grande,,2000,x, ,x
11-01-17,10000587,HOSPITAL ROOSEVELT,76002,0.2819,502,Pedro Alvarez Parejo,141.5,90,Camion Pequeño,1,600,x,x,x
11-01-17,10000972,UBIQUO LABS,76002,0.2811,933,Pedro Alvarez Parejo,262.25,60,Camion Pequeño,4,1000,x, ,x
11-01-17,10001518,POLLO PINULITO,76002,0.2513,759,Hector Aragones Frutos,190.75,30,Camion Pequeño,3,800,x, ,x
11-01-17,10001524,HOSPITAL LAS AMERICAS,76001,0.2544,1141,Hector Aragones Frutos,290.25,90,Camion Grande,1,1200,x,x,x
11-01-17,10001683,BAR LA OFICINA,76001,0.2546,1728,Hector Giron,440,60,Camion Grande,5,1800, , ,x
11-01-17,10002133,HOSPITAL LAS AMERICAS,76001,0.265,1598,Hector Aragones Frutos,423.5,30,Camion Grande,2,1600,x,x, 
11-01-17,10002151,UBIQUO LABS / Ajuste,76001,,1125,Fernando Mariano Berrio,294.25,30,Camion Grande,5,1200,x,x,x
12-01-17,10000051,TAQUERIA EL CHINITO,76001,0.4322,225,Hector Aragones Frutos,97.25,60,Panel,,300, ,x,x
12-01-17,10000149,TIENDA LA BENDICION,76001,0.2521,936,Fernando Mariano Berrio,236,90,Camion Pequeño,0,1000,x,x,x
12-01-17,10000486,ABARROTERIA EBENEZER,76001,0.2655,1681,Angel Valdez Alegria,446.25,30,Camion Grande,3,1700, , ,x
12-01-17,10001304,BAR LA OFICINA,76001,0.2608,1479,Angel Valdez Alegria,385.75,60,Camion Grande,1,1500,x,x,x
12-01-17,10001448,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2771,885,Juan Francisco Portillo Gomez,245.25,30,Camion Pequeño,3,900,x, ,x
12-01-17,10001748,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2784,1443,Hector Giron,401.75,90,Camion Grande,2,1500, , ,x
12-01-17,10001766,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.2527,1464,Fernando Mariano Berrio,370,90,Camion Grande,4,1500,x, ,x
12-01-17,10001928,HOSPITAL LAS AMERICAS,76001,0.2624,889,Fernando Mariano Berrio,233.25,90,Camion Pequeño,4,900,x, ,x
13-01-17,10000125,POLLO PINULITO,76002,0.2605,1912,Angel Valdez Alegria,498,30,Camion Grande,,2000, ,x,x
13-01-17,10000442,TIENDA LA BENDICION,76001,0.2853,312,Hector Aragones Frutos,89,60,Panel,5,400,x,x,x
13-01-17,10000704,HOSPITAL LAS AMERICAS,76001,0.2506,1713,Juan Francisco Portillo Gomez,429.25,30,Camion Grande,,1800,x,x,x
13-01-17,10001259,UBIQUO LABS,76001,0.2999,581,Angel Valdez Alegria,174.25,60,Camion Pequeño,4,600,x,x,x
13-01-17,10001267,TAQUERIA EL CHINITO,76002,0.2552,1919,Hector Aragones Frutos,489.75,30,Camion Grande,5,2000,x, ,x
13-01-17,10001669,"SPORTA, S.A.",76002,0.2756,1209,Fernando Mariano Berrio,333.25,60,Camion Grande,,1300,x, ,x
13-01-17,10001922,HOSPITAL LAS AMERICAS,76002,0.2667,1855,Ismael Rodero Monteagudo,494.75,60,Camion Grande,,1900,x, ,x
13-01-17,10002045,HOSPITAL ROOSEVELT,76002,0.2875,640,Ismael Rodero Monteagudo,184,90,Camion Pequeño,,700,x,x,x
14-01-17,10001145,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.2569,1872,Hector Aragones Frutos,481,90,Camion Grande,5,1900,x, ,x
14-01-17,10001335,TIENDA LA BENDICION,76001,0.2905,1063,Angel Valdez Alegria,308.75,30,Camion Grande,4,1100, , ,x
14-01-17,10001487,BAR LA OFICINA,76002,0.2575,1325,Hector Giron,341.25,30,Camion Grande,,1400,x,x,x
14-01-17,10001568,POLLO PINULITO / Ajuste,76001,,1870,Hector Aragones Frutos,499.5,30,Camion Grande,4,1900, ,x,x
14-01-17,10001780,HOSPITAL ROOSEVELT,76002,0.2938,525,Angel Valdez Alegria,154.25,60,Camion Pequeño,0,600, , ,x
15-01-17,10000047,TIENDA LA BENDICION,76002,0.3246,362,Luis Jaime Urbano,117.5,90,Panel,,400,x, ,x
15-01-17,10000081,POLLO PINULITO,76002,0.2701,547,Fernando Mariano Berrio,147.75,30,Camion Pequeño,1,600,x,x,x
15-01-17,10000221,TAQUERIA EL CHINITO,76002,0.286,1387,Angel Valdez Alegria,396.75,60,Camion Grande,2,1400,x,x,x
15-01-17,10000411,"SPORTA, S.A.",76002,0.3095,336,Ismael Rodero Monteagudo,104,30,Panel,,400,x,x, 
15-01-17,10000504,BAR LA OFICINA,76001,0.2531,1309,Pedro Alvarez Parejo,331.25,30,Camion Grande,4,1400,x, ,x
15-01-17,10000608,UBIQUO LABS,76002,0.2582,1104,Felipe Villatoro,285,90,Camion Grande,0,1200, ,x,x
15-01-17,10000947,BAR LA OFICINA,76001,0.2514,1430,Fernando Mariano Berrio,359.5,60,Camion Grande,3,1500,x, ,x
15-01-17,10001357,EL PINCHE OBELISCO,76001,0.3122,595,Felipe Villatoro,185.75,30,Camion Pequeño,2,600, , ,x
15-01-17,10001407,POLLO PINULITO,76001,0.2844,262,Felipe Villatoro,74.5,30,Panel,0,300,x,x, 
15-01-17,10001574,"SPORTA, S.A.",76002,0.2726,442,Angel Valdez Alegria,120.5,30,Panel,3,500,x, ,x
15-01-17,10001823,HOSPITAL ROOSEVELT,76002,0.3322,572,Felipe Villatoro,190,90,Camion Pequeño,5,600,x, ,x
16-01-17,10000198,"SPORTA, S.A.",76002,0.2626,955,Pedro Alvarez Parejo,250.75,30,Camion Pequeño,2,1000,x, ,x
16-01-17,10000253,UBIQUO LABS / Ajuste,76002,,1714,Juan Francisco Portillo Gomez,464.5,60,Camion Grande,4,1800, ,x,x
16-01-17,10000272,BAR LA OFICINA,76002,0.2887,930,Ismael Rodero Monteagudo,268.5,30,Camion Pequeño,3,1000, , ,x
16-01-17,10000563,"SPORTA, S.A.",76002,0.2875,906,Felipe Villatoro,260.5,90,Camion Pequeño,5,1000, ,x,x
16-01-17,10000644,ABARROTERIA EBENEZER,76001,0.2581,867,Pedro Alvarez Parejo,223.75,30,Camion Pequeño,4,900,x, ,x
16-01-17,10000862,ABARROTERIA EBENEZER,76002,0.2646,1713,Ismael Rodero Monteagudo,453.25,30,Camion Grande,5,1800,x, ,x
16-01-17,10000967,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2731,1816,Juan Francisco Portillo Gomez,496,90,Camion Grande,0,1900,x, ,x
16-01-17,10000969,TIENDA LA BENDICION,76001,0.2587,801,Angel Valdez Alegria,207.25,90,Camion Pequeño,1,900,x,x,x
17-01-17,10000349,TAQUERIA EL CHINITO,76002,0.2512,841,Angel Valdez Alegria,211.25,60,Camion Pequeño,2,900,x, ,x
17-01-17,10000385,POLLO PINULITO,76001,0.3017,600,Pedro Alvarez Parejo,181,60,Camion Pequeño,3,600,x, ,x
17-01-17,10001029,TIENDA LA BENDICION,76001,0.2528,1798,Luis Jaime Urbano,454.5,30,Camion Grande,3,1800,x,x,x
17-01-17,10001079,POLLO PINULITO,76002,0.3239,595,Hector Giron,192.75,30,Camion Pequeño,,600, , ,x
17-01-17,10001299,TIENDA LA BENDICION,76002,0.3333,540,Ismael Rodero Monteagudo,180,60,Camion Pequeño,,600, ,x,x
17-01-17,10001612,HOSPITAL ROOSEVELT,76001,0.2705,1466,Ismael Rodero Monteagudo,396.5,30,Camion Grande,4,1500, , ,x
18-01-17,10000006,TIENDA LA BENDICION,76001,0.2697,1827,Luis Jaime Urbano,492.75,30,Camion Grande,5,1900,x, ,x
18-01-17,10000110,CHICHARRONERIA EL RICO COLESTEROL,76001,0.2931,696,Luis Jaime Urbano,204,60,Camion Pequeño,2,700,x, ,x
18-01-17,10000155,CHICHARRONERIA EL RICO COLESTEROL,76001,0.3547,344,Pedro Alvarez Parejo,122,90,Panel,5,400,x, ,x
18-01-17,10000656,UBIQUO LABS,76002,0.2861,1385,Juan Francisco Portillo Gomez,396.25,90,Camion Grande,0,1400,x,x,x
18-01-17,10000907,HOSPITAL ROOSEVELT,76002,0.2704,587,Juan Francisco Portillo Gomez,158.75,30,Camion Pequeño,0,600,x, ,x
18-01-17,10001068,EL PINCHE OBELISCO,76002,0.2899,1052,Luis Jaime Urbano,305,30,Camion Grande,1,1100,x, ,x
18-01-17,10001092,UBIQUO LABS / Ajuste,76002,,546,Felipe Villatoro,185.5,30,Camion Pequeño,0,600,x,x,x
18-01-17,10001248,BAR LA OFICINA,76002,0.2822,808,Fernando Mariano Berrio,228,30,Camion Pequeño,1,900,x, ,x
18-01-17,10001770,TIENDA LA BENDICION,76001,0.2695,1741,Hector Giron,469.25,30,Camion Grande,3,1800, , ,x
18-01-17,10001842,EL PINCHE OBELISCO,76002,0.2605,1434,Pedro Alvarez Parejo,373.5,60,Camion Grande,2,1500,x, ,x
18-01-17,10002102,TAQUERIA EL CHINITO,76001,0.3052,743,Pedro Alvarez Parejo,226.75,60,Camion Pequeño,0,800,x,x, 
19-01-17,10000178,CHICHARRONERIA EL RICO COLESTEROL,76002,0.2872,1235,Angel Valdez Alegria,354.75,60,Camion Grande,3,1300,x,x, 
19-01-17,10001157,TIENDA LA BENDICION,76001,0.2753,474,Angel Valdez Alegria,130.5,90,Panel,4,500, , ,x
19-01-17,10001237,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.2653,847,Fernando Mariano Berrio,224.75,30,Camion Pequeño,3,900,x, ,x
19-01-17,10001582,UBIQUO LABS,76001,0.297,596,Hector Aragones Frutos,177,90,Camion Pequeño,0,600,x, ,x
19-01-17,10001822,"SPORTA, S.A.",76001,0.2522,1813,Juan Francisco Portillo Gomez,457.25,90,Camion Grande,1,1900,x,x,x
19-01-17,10002126,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2753,1144,Ismael Rodero Monteagudo,315,30,Camion Grande,5,1200,x,x,x
20-01-17,10000668,CHICHARRONERIA EL RICO COLESTEROL,76002,0.2775,1707,Felipe Villatoro,473.75,60,Camion Grande,,1800,x, ,x
20-01-17,10001149,BAR LA OFICINA,76002,0.2602,1762,Luis Jaime Urbano,458.5,90,Camion Grande,2,1800, , ,x
20-01-17,10001394,TAQUERIA EL CHINITO,76001,0.2966,988,Felipe Villatoro,293,60,Camion Pequeño,5,1000,x,x,x
20-01-17,10001650,TIENDA LA BENDICION,76001,0.2656,1793,Luis Jaime Urbano,476.25,30,Camion Grande,1,1800,x, ,x
20-01-17,10002082,EL PINCHE OBELISCO / Ajuste,76001,,398,Felipe Villatoro,144.5,30,Panel,2,400,x,x,x
21-01-17,10000044,TIENDA LA BENDICION,76001,0.2688,1706,Luis Jaime Urbano,458.5,60,Camion Grande,3,1800,x,x,x
21-01-17,10000096,HOSPITAL ROOSEVELT,76001,0.3411,516,Hector Aragones Frutos,176,30,Camion Pequeño,5,600, ,x,x
21-01-17,10000290,HOSPITAL ROOSEVELT,76002,0.2588,1361,Hector Aragones Frutos,352.25,90,Camion Grande,4,1400,x, ,x
21-01-17,10000306,"SPORTA, S.A.",76002,0.2527,737,Pedro Alvarez Parejo,186.25,90,Camion Pequeño,3,800,x, ,x
21-01-17,10000729,HOSPITAL ROOSEVELT,76001,0.2506,1784,Hector Giron,447,60,Camion Grande,4,1800,x,x,x
21-01-17,10001020,UBIQUO LABS / Ajuste,76002,,1592,Angel Valdez Alegria,442,30,Camion Grande,5,1600,x, ,x
21-01-17,10001148,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2857,1260,Hector Aragones Frutos,360,90,Camion Grande,4,1300, ,x,x
21-01-17,10001186,UBIQUO LABS,76001,0.2961,1085,Fernando Mariano Berrio,321.25,60,Camion Grande,,1100, ,x,x
21-01-17,10001421,ABARROTERIA EBENEZER,76002,0.2636,1102,Luis Jaime Urbano,290.5,30,Camion Grande,0,1200,x,x,x
21-01-17,10001505,TIENDA LA BENDICION,76002,0.2588,1026,Pedro Alvarez Parejo,265.5,60,Camion Grande,5,1100, , ,x
21-01-17,10001744,BAR LA OFICINA,76002,0.2715,1911,Hector Giron,518.75,90,Camion Grande,3,2000,x, ,x
21-01-17,10001816,TIENDA LA BENDICION,76002,0.2682,989,Pedro Alvarez Parejo,265.25,60,Camion Pequeño,1,1000,x,x,x
21-01-17,10001948,TIENDA LA BENDICION,76001,0.2596,1771,Hector Aragones Frutos,459.75,30,Camion Grande,1,1800, ,x,x
21-01-17,10001967,TIENDA LA BENDICION,76002,0.2919,597,Hector Aragones Frutos,174.25,30,Camion Pequeño,5,600,x, ,x
22-01-17,10000357,ABARROTERIA EBENEZER,76001,0.4475,238,Ismael Rodero Monteagudo,106.5,90,Panel,,300, , ,x
22-01-17,10000435,HOSPITAL ROOSEVELT,76002,0.3236,462,Felipe Villatoro,149.5,60,Panel,3,500,x,x,x
22-01-17,10000539,CHICHARRONERIA EL RICO COLESTEROL,76002,0.2972,742,Hector Aragones Frutos,220.5,30,Camion Pequeño,3,800,x,x,x
22-01-17,10001028,BAR LA OFICINA,76002,0.2683,1915,Juan Francisco Portillo Gomez,513.75,60,Camion Grande,4,2000,x,x, 
22-01-17,10001065,TAQUERIA EL CHINITO,76001,0.276,1613,Ismael Rodero Monteagudo,445.25,30,Camion Grande,1,1700,x,x,x
22-01-17,10001111,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.2674,1266,Hector Giron,338.5,60,Camion Grande,4,1300,x, ,x
22-01-17,10001382,TIENDA LA BENDICION,76001,0.2683,1641,Ismael Rodero Monteagudo,440.25,60,Camion Grande,0,1700, , ,x
22-01-17,10001467,UBIQUO LABS / Ajuste,76001,,1546,Juan Francisco Portillo Gomez,392.5,30,Camion Grande,3,1600,x,x,x
22-01-17,10001706,HOSPITAL LAS AMERICAS,76002,0.2544,680,Hector Aragones Frutos,173,60,Camion Pequeño,5,700,x, ,x
23-01-17,10000049,HOSPITAL ROOSEVELT,76002,0.3409,297,Angel Valdez Alegria,101.25,90,Panel,5,300,x, ,x
23-01-17,10000288,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2598,1025,Luis Jaime Urbano,266.25,60,Camion Grande,,1100,x,x, 
23-01-17,10000315,TIENDA LA BENDICION,76001,0.2644,278,Hector Aragones Frutos,73.5,60,Panel,4,300,x, ,x
23-01-17,10000550,TAQUERIA EL CHINITO,76002,0.2823,743,Pedro Alvarez Parejo,209.75,30,Camion Pequeño,2,800,x, ,x
23-01-17,10001098,UBIQUO LABS / Ajuste,76001,,880,Ismael Rodero Monteagudo,256,90,Camion Pequeño,3,900,x,x,x
23-01-17,10001251,POLLO PINULITO,76002,0.2779,1793,Felipe Villatoro,498.25,30,Camion Grande,4,1800,x,x,x
23-01-17,10001439,HOSPITAL ROOSEVELT,76002,0.2622,1975,Felipe Villatoro,517.75,60,Camion Grande,5,2000,x, ,x
23-01-17,10001590,ABARROTERIA EBENEZER,76002,0.2653,1508,Fernando Mariano Berrio,400,30,Camion Grande,2,1600,x, ,x
23-01-17,10001925,CHICHARRONERIA EL RICO COLESTEROL,76001,0.2685,647,Angel Valdez Alegria,173.75,30,Camion Pequeño,3,700,x, ,x
23-01-17,10002031,POLLO PINULITO,76001,0.2703,838,Luis Jaime Urbano,226.5,60,Camion Pequeño,2,900,x,x,x
23-01-17,10002152,HOSPITAL ROOSEVELT,76001,0.2731,1904,Fernando Mariano Berrio,520,90,Camion Grande,2,2000, , ,x
24-01-17,10000101,UBIQUO LABS,76001,0.2809,1164,Fernando Mariano Berrio,327,90,Camion Grande,3,1200, , , 
24-01-17,10000223,TIENDA LA BENDICION,76002,0.2506,1763,Fernando Mariano Berrio,441.75,30,Camion Grande,,1800,x, ,x
24-01-17,10000443,"SPORTA, S.A.",76001,0.2696,1788,Ismael Rodero Monteagudo,482,60,Camion Grande,5,1800,x, ,x
24-01-17,10000571,TAQUERIA EL CHINITO,76001,0.2694,1497,Luis Jaime Urbano,403.25,30,Camion Grande,0,1500,x, ,x
24-01-17,10000599,HOSPITAL ROOSEVELT,76002,0.2982,809,Pedro Alvarez Parejo,241.25,60,Camion Pequeño,0,900,x, ,x
24-01-17,10000831,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.2714,1821,Fernando Mariano Berrio,494.25,90,Camion Grande,0,1900, , ,x
24-01-17,10001364,UBIQUO LABS,76001,0.2596,1668,Felipe Villatoro,433,90,Camion Grande,3,1700, , ,x
24-01-17,10001397,BAR LA OFICINA,76001,0.2566,1362,Fernando Mariano Berrio,349.5,60,Camion Grande,1,1400,x, ,x
24-01-17,10002143,TIENDA LA BENDICION,76001,0.275,601,Fernando Mariano Berrio,165.25,30,Camion Pequeño,2,700, ,x, 
25-01-17,10000092,UBIQUO LABS / Ajuste,76002,,1134,Juan Francisco Portillo Gomez,299.5,30,Camion Grande,,1200,x, ,x
25-01-17,10000555,BAR LA OFICINA,76002,0.2994,385,Juan Francisco Portillo Gomez,115.25,90,Panel,,400,x, , 
25-01-17,10000742,TAQUERIA EL CHINITO,76001,0.2577,914,Hector Giron,235.5,60,Camion Pequeño,5,1000,x, ,x
25-01-17,10000903,"SPORTA, S.A.",76002,0.3122,225,Pedro Alvarez Parejo,70.25,90,Panel,5,300, , ,x
